,no_of_skills,python,sql,machine.learning,r,hadoop,tableau,sas,spark,java,other_skills,skills,ca,ny,va,tx,ma,il,wa,md,dc,nc,other_states,state,industry,consulting.and.business.services,internet.and.software,banks.and.financial.services,health.care,insurance,other_industries,job title,data_analyst,data_engineer,data_scientist,company ,no_of_reviews,no_of_stars,revenue_$1bto$5b,revenue_$5bto$10b,revenue<$1b,"""revenue>$10b",revenue_na,employees>10k,employees<10k,employees_na
"[41] ""employees<10k""",3,1,1,0,0,0,0,0,0,1,0,"Python, SQL, Java",0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Internet & Software,0,1,0,0,0,0,Data engineer,0,1,0,Airbnb ,336,3.7,1,0,0,0,0,1,0,0
"[42] ""employees_na""",5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, R, Machine Learning, Tableau",0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Banks & financial services,0,0,1,0,0,0,Data analyst,1,0,0,Baidu,46,4.5,0,0,0,1,0,1,0,0
,6,1,1,1,1,0,1,0,0,1,0,"Python, SQL, R, Machine Learning, Tableau, Java",0,0,0,0,0,0,0,0,1,0,0,"Washington, DC",Consulting & business services,1,0,0,0,0,0,Data engineer,0,1,0,Google,3700,4.3,0,0,0,1,0,1,0,0
,6,1,1,1,1,1,0,1,0,0,0,"Python, SQL, R, Machine Learning, Hadoop, SAS",0,1,0,0,0,0,0,0,0,0,0,New York,Internet & Software,0,1,0,0,0,0,Data engineer,0,1,0,Amazon,60800,3.6,0,0,0,1,0,1,0,0
,6,1,1,1,1,1,0,1,0,0,0,"Python, SQL, R, Machine Learning, Hadoop, SAS",0,1,0,0,0,0,0,0,0,0,0,New York,Internet & Software,0,1,0,0,0,0,Data engineer,0,1,0,Facebook,566,4.2,0,0,0,1,0,1,0,0
,6,1,1,1,1,1,0,1,0,0,0,"Python, SQL, R, Machine Learning, Hadoop, SAS",0,1,0,0,0,0,0,0,0,0,0,New York,Internet & Software,0,1,0,0,0,0,Data engineer,0,1,0,Microsoft,6800,4.2,0,0,0,1,0,1,0,0
,5,1,1,0,1,0,1,1,0,0,0,"Python, SQL, R, Tableau, SAS",0,0,0,0,0,0,1,0,0,0,0,Washington,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,Amazon,60800,3.6,0,0,0,1,0,1,0,0
,5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, R, Machine Learning, Tableau",0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,Amazon,60800,3.6,0,0,0,1,0,1,0,0
,6,1,1,1,1,0,1,0,0,0,1,"Python, SQL, R, Machine Learning, Tableau, Matlab",1,0,0,0,0,0,0,0,0,0,0,California,Internet & Software,0,1,0,0,0,0,Data analyst,1,0,0,Uber,2000,3.7,0,0,0,1,0,1,0,0
,1,0,0,0,0,0,0,0,0,0,1,Java,0,0,0,0,0,0,0,0,1,0,0,"Washington, DC",Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,Amazon,60800,3.6,0,0,0,1,0,1,0,0
,4,1,1,0,1,0,1,0,0,0,0,"Python, SQL, R, Tableau",0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,Boston Consulting Group,276,4.2,0,1,0,0,0,1,0,0
,4,1,0,1,1,0,1,0,0,0,0,"Python, R, Machine Learning, Tableau",0,0,0,0,0,1,0,0,0,0,0,Illinois,Internet & Software,0,1,0,0,0,0,Data analyst,1,0,0,Amazon ,60800,3.6,0,0,0,1,0,1,0,0
,3,0,0,1,1,0,1,0,0,0,0,"R, Machine Learning, Tableau",1,0,0,0,0,0,0,0,0,0,0,California,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,Deloitte,9400,4,0,0,0,1,0,1,0,0
,5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, R, Machine Learning, Tableau",0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,McKinsey ,540,4.3,0,0,0,1,0,1,0,0
,4,0,1,0,1,0,1,0,0,0,1,"SQL, R, Tableau, powerbi",0,0,0,0,0,0,0,0,1,0,0,"Washington, DC",Banks & financial services,0,0,1,0,0,0,Data analyst,1,0,0,Mckinsey,540,4.3,0,0,0,1,0,1,0,0
,1,0,0,0,1,0,0,0,0,0,0,R,0,0,0,0,1,0,0,0,0,0,0,Massachusetts,Consulting & business services,1,0,0,0,0,0,Data analyst,1,0,0,IBM,29600,3.9,0,0,0,1,0,1,0,0
,5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, R, Machine Learning, Tableau",0,1,0,0,0,0,0,0,0,0,0,New York,Internet & Software,0,1,0,0,0,0,Data scientist,0,0,1,Apple,9600,4.2,0,0,0,1,0,1,0,0
,7,1,1,1,1,0,1,0,0,0,2,"Python, SQL, R, Machine Learning, Tableau, Stats, EViews",0,1,0,0,0,0,0,0,0,0,0,New York,Banks & financial services,0,0,1,0,0,0,Data analyst,1,0,0,Apple,9600,4.2,0,0,0,1,0,1,0,0
,5,1,1,1,1,0,1,0,0,0,0,"Python, SQL, R, Machine Learning, Tableau",1,0,0,0,0,0,0,0,0,0,0,California,Internet & Software,0,1,0,0,0,0,Data scientist,0,0,1,Apple,9600,4.2,0,0,0,1,0,1,0,0
,4,1,1,0,1,0,1,0,0,0,0,"Python, SQL, R, Tableau",1,0,0,0,0,0,0,0,0,0,0,California,Internet & Software,0,1,0,0,0,0,Data scientist,0,0,1,Microsoft,6800,4.2,0,0,0,1,0,1,0,0
,5,1,1,1,1,0,1,0,0,0,0,NA,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1,0,0,0,0,0,NA,1,0,0,NA,0,0,0,0,0,0,1,0,0,1
